,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
2078,5346,53,4.0,110.36648692891256,77.70584922022466,20.0,9,24.0,2018,0.049637257,B,B,34,7759,0,229.0,1,3,B
1506,8780,128,2.0,57.53882731908632,34.71373536061161,10.0,19,22.0,1994,0.0,B,B,27,4798,0,30.0,2,8,B
3717,3047,45,1.0,40.7340773392944,22.50785607947856,9.0,3,16.0,1984,0.014423114,B,B,19,3806,4,,0,3,B
4073,5055,1,2.0,55.577610078870784,32.54836018516995,9.0,10,17.0,2014,0.007122317,B,B,1,264,0,,0,1,B
857,15471,3,1.0,35.87615246760468,18.853164511623504,6.0,8,9.0,1974,0.050900058,B,B,43,10621,1,30.0,2,3,B
2393,4462,34,1.0,49.095249269794095,46.740322011253454,8.0,6,25.0,2019,0.069753361,B,B,53,13670,4,,1,11,B
4896,1622,96,1.0,33.38985784625336,19.35590344114065,7.0,14,14.0,2006,0.041116354,B,B,53,14892,4,,1,4,B
2562,4620,121,2.0,44.1058591687604,28.474609055991596,5.0,4,5.0,1962,0.049863387,B,B,18,3746,9,75.0,3,1,B
1338,13852,62,1.0,48.16982935700519,25.32539908060597,14.0,7,12.0,2014,0.072157581,B,B,2,629,1,,0,0,A
901,3607,94,2.0,41.74844775289928,21.26851129263242,8.0,12,12.0,1981,0.127375905,B,B,43,8429,3,,3,9,B
729,16555,1,1.0,38.40776281943658,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1800,709,9,1.0,39.25240909032569,24.70196782093357,8.0,11,14.0,1986,0.136244425,B,B,11,2370,0,,0,1,B
2335,13601,6,1.0,42.098529972577865,5.948005138598387,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
3623,5450,51,2.0,51.85133641053128,32.114051612620486,7.0,14,14.0,1956,0.015016892,B,B,17,3079,59,2890.0,0,8,B
4887,14015,6,2.0,65.7434365882377,4.1044106349534575,1.0,15,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1625,6560,9,3.0,79.08401924235541,1.298378838602511,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
1124,1908,6,2.0,64.88350677448993,,1.0,3,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
3978,653,30,2.0,39.112929101577365,,1.0,16,1.0,2015,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
3686,6973,29,1.0,38.203350949698745,21.558270894980048,7.0,5,5.0,1964,0.069660344,B,B,31,6119,4,,1,2,B
95,902,27,3.0,99.29319132374468,,0.0,2,0.0,1977,0.07542368,B,B,11,3097,0,,0,0,B
4192,5593,194,3.0,80.05045608929314,55.02680210642559,8.0,3,8.0,1962,0.174739084,B,B,17,3379,9,100.0,0,3,B
791,7696,23,2.0,74.64631863190073,75.21441100136617,1.0,5,1.0,2015,0.014072961,B,B,2,475,0,,0,0,B
4938,12024,25,1.0,44.92546058227112,4.259876367655556,1.0,27,1.0,2013,0.069753361,B,B,53,13670,4,,1,11,B
3533,16412,21,1.0,37.68122772866476,22.9679619722236,7.0,15,17.0,2007,0.034331497,B,B,25,5487,3,,0,4,B
971,6914,93,2.0,48.56274186178487,29.0119245662584,6.0,6,9.0,1978,0.050900058,B,B,43,10621,1,30.0,2,3,B
3506,16515,27,1.0,52.6927436788185,,0.0,8,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4122,3570,1,1.0,42.35619004623624,,11.0,16,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2681,907,100,1.0,30.89982461322368,22.445856001885748,5.0,5,8.0,1963,0.049863387,B,B,18,3746,9,75.0,3,1,B
1151,11907,17,1.0,42.96664088452114,19.444965335700587,9.0,2,8.0,1960,0.0,B,B,25,5027,4,46.0,1,1,B
3958,1501,31,2.0,59.93026644518928,34.082750027028645,8.0,6,5.0,1955,0.151346216,B,A,32,5889,10,830.0,4,1,B
4271,3804,13,1.0,42.08825354664381,24.351503545087,8.0,11,14.0,1997,0.090799103,B,B,74,19083,2,,5,15,B
169,12034,53,2.0,58.56362485209706,43.75223474518224,10.0,16,24.0,2019,0.049637257,B,B,34,7759,0,229.0,1,3,B
3820,264,30,3.0,79.92059187187422,,1.0,13,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2385,3107,11,2.0,46.342950599711706,28.86379978594401,5.0,12,12.0,1975,0.225824954,A,B,41,6558,7,1548.0,3,2,B
4612,8754,62,3.0,70.28582113200804,45.42927481019846,9.0,8,16.0,1976,0.002211665,B,B,39,7614,3,,1,5,A
1484,10884,62,2.0,69.35764552494996,35.070784455198826,12.0,6,9.0,2017,0.072157581,B,B,2,629,1,,0,0,A
1649,10056,27,2.0,62.90009390765925,,0.0,5,22.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
503,10172,49,2.0,46.10762482243888,30.868960889669108,5.0,8,9.0,1971,0.020741326,B,B,24,5613,5,1340.0,2,5,B
2940,13063,3,2.0,55.505711064734456,34.59533024050578,8.0,9,12.0,1985,0.050900058,B,B,43,10621,1,30.0,2,3,B
4475,11333,74,1.0,51.22848091744103,,1.0,6,6.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3385,15753,96,2.0,60.773949636267616,36.112169344525405,10.0,3,9.0,2004,0.041116354,B,B,53,14892,4,,1,4,B
4227,3341,62,3.0,112.11401886382689,112.24784145945088,112.0,3,3.0,2017,0.072157581,B,B,2,629,1,,0,0,A
3955,15668,77,2.0,46.05791948176309,31.45476503659023,6.0,11,9.0,1974,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
3657,16065,94,2.0,54.17208655037579,31.40039804288849,7.0,13,17.0,2001,0.521867054,B,B,25,6149,0,,0,0,B
2670,11539,26,2.0,49.52896355463472,30.51241100466033,6.0,12,12.0,1977,0.0,B,B,36,6714,2,2672.0,0,2,B
3024,15096,30,1.0,132.67051292780675,122.57893175773675,3.0,10,39.0,2010,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
1418,7871,47,1.0,39.09697007688106,21.30746196984717,8.0,6,16.0,1984,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
1134,5767,79,2.0,48.54572333459649,32.582038529840226,8.0,5,12.0,1971,0.307466659,B,A,30,5048,9,325.0,2,5,B
2438,8919,25,2.0,59.4260703131239,,1.0,22,24.0,1977,0.069753361,B,B,53,13670,4,,1,11,B
362,7467,27,1.0,34.842188905195606,,0.0,22,25.0,1977,0.072157581,B,B,2,629,1,,0,0,A
828,14129,144,1.0,42.81881426108285,23.833148787680912,8.0,5,12.0,1982,0.306977489,B,B,27,5148,14,1575.0,5,7,B
3561,5600,21,2.0,49.94171705426886,31.238350036293483,6.0,7,9.0,1990,0.194489265,B,B,47,8004,3,125.0,3,5,B
3910,5868,30,2.0,69.4834656139402,,1.0,2,1.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
907,9534,41,2.0,53.41007943012504,31.877028872465488,8.0,6,17.0,1984,0.175054867,B,B,36,10055,3,,1,0,B
4915,16611,8,1.0,33.30142882137869,19.66564064869518,5.0,2,9.0,1966,0.458174486,B,A,26,4439,1,1130.0,1,5,B
1777,1709,66,3.0,78.1708635749995,55.812838634290685,8.0,2,5.0,1959,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1637,6923,57,1.0,36.65569602368351,24.84606339721732,6.0,5,9.0,1984,0.133215333,B,B,49,11395,3,1406.0,3,4,A
4565,4306,69,3.0,80.06678399846665,49.212077040152224,10.0,9,16.0,1985,0.000991363,B,B,33,6783,3,,1,9,B
2287,7020,28,2.0,43.46727673764455,30.92462242944984,5.0,5,9.0,1968,0.118537385,B,B,30,6207,1,1183.0,1,0,B
4150,10901,44,2.0,53.34942728773794,30.87100280741553,8.0,11,17.0,1993,0.122190486,B,B,25,4724,2,1308.0,1,3,B
2420,1320,23,2.0,54.350504892039226,57.37699040666648,1.0,4,3.0,1977,0.005767451,B,B,1,388,0,,0,0,B
1319,16115,29,2.0,39.105942617150326,28.207091297898888,6.0,9,9.0,1965,0.069660344,B,B,31,6119,4,,1,2,B
1086,9473,27,2.0,57.02175248870378,,1.0,10,19.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
96,8932,9,3.0,61.62386642520137,57.05144012680068,6.0,6,9.0,1974,0.13012277,B,B,8,1986,0,,0,0,B
2457,9455,120,3.0,93.513052697782,,1.0,7,1.0,1977,0.341071945,B,B,27,5664,48,2300.0,3,11,B
1947,3122,30,2.0,63.6069049008282,,1.0,17,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
1730,14733,53,1.0,37.874879670180775,,1.0,15,1.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B
1513,2492,61,3.0,67.33754390065988,42.228395211941816,8.0,5,9.0,1980,0.300322518,B,B,52,10311,6,,1,9,B
3091,16547,90,2.0,47.9393208305059,32.704815098981946,6.0,4,9.0,1970,0.265088676,B,B,37,5288,0,1937.0,3,2,B
4657,12898,11,1.0,33.35089186623317,20.31937194820121,5.0,7,5.0,1965,0.225824954,A,B,41,6558,7,1548.0,3,2,B
1684,1959,10,2.0,48.4488353492819,33.44543016743453,6.0,4,9.0,1969,0.089039719,B,B,33,7976,5,,0,11,B
3153,5404,10,2.0,46.76401376168032,27.30249259380489,6.0,6,12.0,1972,0.089039719,B,B,33,7976,5,,0,11,B
2538,2714,155,3.0,58.49212370874321,41.44643278329964,5.0,3,5.0,1964,0.042307271,B,B,17,2810,9,4849.0,3,6,B
4230,11325,140,1.0,40.62324285122256,21.250937103583183,8.0,12,10.0,1976,0.23861713,B,B,26,3889,6,705.0,3,6,B
1279,14939,210,2.0,54.95382600226949,31.2239165688112,6.0,3,10.0,1956,0.081943463,B,B,20,2738,20,,1,4,B
3876,14064,93,1.0,42.710105733174345,23.81561263784509,9.0,23,24.0,2004,0.050900058,B,B,43,10621,1,30.0,2,3,B
4727,11491,54,1.0,78.18187266850681,75.20390138938626,1.0,1,15.0,2017,0.006076152,B,B,30,5285,0,645.0,6,6,B
3497,13937,30,2.0,64.76318145209842,,1.0,9,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2603,9403,78,1.0,37.47990798928021,22.92666716114237,7.0,3,14.0,1999,0.092290642,B,B,21,4346,2,165.0,1,2,B
3754,11752,111,1.0,31.7295103702302,22.92900638173755,5.0,3,5.0,1965,0.0,B,B,36,6714,2,2672.0,0,2,B
3419,7930,81,1.0,40.43689372741316,21.50679625676892,9.0,6,14.0,1973,0.006076152,B,B,30,5285,0,645.0,6,6,B
3560,2882,170,2.0,49.54985495264384,30.55279559526602,7.0,9,8.0,1961,0.21843974,B,B,21,4472,6,1450.0,4,7,A
1290,12688,1,2.0,67.48360025726446,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2910,2075,11,1.0,38.29649910490821,21.137445989349924,9.0,4,14.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B
3090,5253,46,2.0,55.52008341488619,35.328234383113646,9.0,14,17.0,2005,0.0,B,B,47,11319,0,1145.0,3,5,B
2513,3764,193,4.0,97.93164197523646,72.38690456571206,8.0,5,5.0,1957,0.319809354,B,B,25,4756,16,2857.0,5,8,B
4298,10577,23,3.0,64.69659095494735,,1.0,4,3.0,1977,0.034656082,B,B,0,168,0,,0,0,B
1294,949,27,2.0,48.56496345098903,,1.0,12,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2227,2333,84,1.0,35.28851516084004,24.07492011230041,5.0,10,9.0,1965,0.006076152,B,B,30,5285,0,645.0,6,6,B
3398,10815,42,2.0,59.5596079977575,32.05103903351943,12.0,6,9.0,2005,0.158249043,B,B,21,5731,0,,1,0,B
2592,10625,86,2.0,69.01813237923352,39.72563173300711,10.0,6,4.0,1950,0.161975568,B,A,31,7010,5,4508.0,3,7,B
3597,772,49,2.0,54.02440075030214,28.383604740141312,9.0,19,17.0,2008,0.020741326,B,B,24,5613,5,1340.0,2,5,B
2516,2951,62,1.0,38.48070213924726,19.79774794711466,9.0,2,12.0,1975,0.002211665,B,B,39,7614,3,,1,5,A
2113,10251,8,2.0,58.024162112260406,31.40215519690671,8.0,13,12.0,1977,0.219006007,B,B,28,6746,3,,1,4,B
4246,2442,53,3.0,79.42705371905548,77.40201304953315,1.0,16,16.0,2016,0.049637257,B,B,34,7759,0,229.0,1,3,B
4779,4019,134,2.0,38.62583221258964,23.723588689986386,7.0,7,9.0,1962,0.049863387,B,B,18,3746,9,75.0,3,1,B
110,10962,9,3.0,77.07321170375477,44.78487681544152,10.0,9,14.0,1992,0.161531741,B,B,25,5648,1,30.0,2,4,B
3915,5674,77,1.0,39.05556390481898,20.19633433236669,8.0,5,12.0,1977,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
404,7840,46,3.0,77.54370827287322,52.90704362724434,9.0,4,4.0,1962,0.188783766,B,B,31,6137,4,,0,1,B
1990,12385,27,2.0,60.57808384208661,60.31553640134182,10.0,13,12.0,2016,0.011654127,B,B,4,915,0,,0,0,B
4301,16432,25,3.0,77.69502100178278,43.668439617379455,10.0,6,17.0,2000,0.069753361,B,B,53,13670,4,,1,11,B
3072,3927,103,1.0,37.70311822947968,23.780611724029704,9.0,15,16.0,1984,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
2614,11761,6,3.0,81.70956719688513,,1.0,9,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4334,8673,27,1.0,47.058040732585056,,1.0,4,16.0,2015,0.072157581,B,B,2,629,1,,0,0,A
1628,1223,94,2.0,56.200228585965824,32.00785921705508,7.0,11,17.0,2000,0.521867054,B,B,25,6149,0,,0,0,B
4659,11143,7,2.0,43.92019171835752,26.5787616455314,7.0,12,12.0,1965,0.035145267,B,B,42,9292,3,2620.0,0,3,B
4986,10616,1,2.0,77.46354026700465,,1.0,5,16.0,2017,0.007122317,B,B,1,264,0,,0,1,B
2742,7924,79,2.0,59.10899824460973,31.05475299284512,13.0,2,25.0,2014,0.307466659,B,A,30,5048,9,325.0,2,5,B
4954,4047,168,3.0,92.02029339171308,42.53338892459912,22.0,2,2.0,2018,0.341071945,B,B,27,5664,48,2300.0,3,11,B
3517,6208,90,1.0,44.827681736643534,20.377861178948454,10.0,10,24.0,2010,0.246031548,B,A,22,3151,4,2715.0,3,3,B
1879,3081,179,2.0,51.41634476261211,34.18658068196778,9.0,8,12.0,1969,0.037316452,B,B,32,6748,93,562.0,4,10,B
3834,2421,148,2.0,54.06569450368186,34.45649259611906,8.0,12,17.0,1986,0.313924552,B,B,22,4625,11,3855.0,2,10,B
2382,8713,1,2.0,55.73790447572605,33.538598989494425,9.0,11,17.0,2009,0.025609157,B,B,33,5261,0,240.0,3,1,B
1485,9115,27,1.0,31.416478657308826,28.46446705817943,7.0,6,19.0,2014,0.211401214,B,B,9,1892,0,,0,1,B
2820,13728,53,1.0,33.395065983568514,20.304712187662137,7.0,6,9.0,1971,0.049637257,B,B,34,7759,0,229.0,1,3,B
3899,9693,23,1.0,41.639364640789545,,1.0,6,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
388,5135,30,1.0,43.144340569177466,18.295503331696487,1.0,12,22.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2727,4109,52,2.0,66.86134297046617,65.8346422822604,0.0,4,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
2773,6338,105,3.0,59.80181775808106,44.102802924751714,5.0,4,5.0,1971,0.069660344,B,B,31,6119,4,,1,2,B
2299,5018,27,2.0,65.81218754096736,33.852297606893195,11.0,5,18.0,2016,0.072157581,B,B,2,629,1,,0,0,A
3751,8622,23,1.0,40.29525080704799,,1.0,4,4.0,2017,0.034656082,B,B,0,168,0,,0,0,B
4316,5013,57,2.0,63.028650824145686,36.11260435755962,12.0,3,12.0,2003,0.090799103,B,B,74,19083,2,,5,15,B
3308,14232,75,1.0,34.59139014753839,18.76559975769299,9.0,13,12.0,1970,0.307466659,B,A,30,5048,9,325.0,2,5,B
2114,1152,21,2.0,53.4167118983648,30.84538872997398,9.0,9,14.0,2006,0.034331497,B,B,25,5487,3,,0,4,B
882,5423,23,2.0,93.98565807826094,51.32935939689996,15.0,18,25.0,2012,0.075778755,B,B,6,1437,3,,0,2,B
637,13804,103,3.0,60.00717668229641,44.698299591186206,5.0,4,10.0,1971,0.014423114,B,B,19,3806,4,,0,3,B
3578,10020,44,1.0,39.03321670446257,23.901532570837297,9.0,8,16.0,1993,0.232205084,B,B,24,4860,1,80.0,0,3,B
1322,829,126,1.0,42.199066435420725,24.66746703790884,8.0,4,14.0,2003,0.333891544,B,B,30,6564,1,,0,0,B
1978,12795,27,2.0,84.56821306909708,85.01858113904669,12.0,6,6.0,1977,0.07542368,B,B,11,3097,0,,0,0,B
3599,14191,9,3.0,74.31162594106715,48.95848523414968,8.0,9,14.0,1993,0.161531741,B,B,25,5648,1,30.0,2,4,B
2193,1027,12,3.0,60.02972321907347,39.95572515773721,6.0,8,9.0,1983,0.090799103,B,B,74,19083,2,,5,15,B
4100,11688,98,2.0,54.584236746163214,34.12578616699977,9.0,14,12.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
2046,4136,31,3.0,69.66069360497843,44.64175793095991,7.0,13,12.0,1975,0.151346216,B,A,32,5889,10,830.0,4,1,B
1,5925,62,1.0,42.49390721216511,42.56813259970031,10.0,7,17.0,2017,0.072157581,B,B,2,629,1,,0,0,A
4737,4816,89,2.0,58.69490814155216,37.92669749860402,7.0,4,8.0,1963,0.151346216,B,A,32,5889,10,830.0,4,1,B
